nc,kc,mc,mr,nr,mv,nu,time
512,64,64,2,2,2,2,46.934257253333335
512,64,64,2,4,2,2,34.79574712
512,64,64,2,4,2,4,11.236784313333334
512,64,64,2,8,2,2,10.613883106666668
512,64,64,2,8,2,4,26.25077498666667
512,64,64,2,8,2,8,6.755348533333334
512,64,64,2,16,2,2,16.82316911666667
512,64,64,2,16,2,4,17.36071492
512,64,64,2,16,2,8,3.778824723333333
512,64,64,2,16,2,16,4.306206990000001
512,64,64,2,32,2,2,16.58317828666667
512,64,64,2,32,2,4,33.05487635
512,64,64,2,32,2,8,2.8457239899999998
512,64,64,2,32,2,16,2.7920539933333335
512,64,64,4,2,2,2,11.5272656
512,64,64,4,2,4,2,11.649885886666668
512,64,64,4,4,2,2,6.716367213333332
512,64,64,4,4,2,4,6.811670126666666
512,64,64,4,4,4,2,26.644853246666663
512,64,64,4,4,4,4,6.74363935
512,64,64,4,8,2,2,5.66339642
512,64,64,4,8,2,4,4.2318384
512,64,64,4,8,2,8,4.168311396666667
512,64,64,4,8,4,2,8.441143343333334
512,64,64,4,8,4,4,3.9527844566666666
512,64,64,4,8,4,8,4.20925842
512,64,64,4,16,2,2,14.669056333333332
512,64,64,4,16,2,4,2.7869933033333334
512,64,64,4,16,2,8,2.8220146366666667
512,64,64,4,16,2,16,3.0636999666666664
512,64,64,4,16,4,2,14.663962943333336
512,64,64,4,16,4,4,2.81899669
512,64,64,4,16,4,8,2.81427369
512,64,64,4,16,4,16,56.72690666
512,64,64,4,32,2,2,14.78795407
512,64,64,4,32,2,4,3.2152298800000003
512,64,64,4,32,2,8,3.2188322099999995
512,64,64,4,32,2,16,4.908703479999999
512,64,64,4,32,4,2,14.77880733
512,64,64,4,32,4,4,3.2515722700000005
512,64,64,4,32,4,8,3.2926869366666667
512,64,64,4,32,4,16,30.45454596
512,64,64,8,2,2,2,7.420677136666667
512,64,64,8,2,4,2,7.34472076
512,64,64,8,2,8,2,7.387004096666666
512,64,64,8,4,2,2,4.473043723333333
512,64,64,8,4,2,4,5.079208066666666
512,64,64,8,4,4,2,4.56320626
512,64,64,8,4,4,4,5.097229513333334
512,64,64,8,4,8,2,6.086835416666666
512,64,64,8,4,8,4,5.19062184
512,64,64,8,8,2,2,3.481827006666667
512,64,64,8,8,2,4,3.4230087200000003
512,64,64,8,8,2,8,29.522173996666666
512,64,64,8,8,4,2,3.5143499533333338
512,64,64,8,8,4,4,3.5054929466666667
512,64,64,8,8,4,8,3.431066916666667
512,64,64,8,8,8,2,3.4596979166666664
512,64,64,8,8,8,4,3.5357635833333334
512,64,64,8,8,8,8,74.22449497999999
512,64,64,8,16,2,2,4.05759481
512,64,64,8,16,2,4,4.0318476966666665
512,64,64,8,16,2,8,5.033674036666667
512,64,64,8,16,2,16,3.29233836
512,64,64,8,16,4,2,4.083666696666666
512,64,64,8,16,4,4,4.066921956666667
512,64,64,8,16,4,8,4.913436346666668
512,64,64,8,16,4,16,57.61476086333334
