nc,kc,mc,mr,nr,mv,nu,time
512,64,64,2,2,2,2,53.78053349333333
512,64,64,2,4,2,2,40.263102486666675
512,64,64,2,4,2,4,12.378936309999998
512,64,64,2,8,2,2,12.128977233333334
512,64,64,2,8,2,4,30.266473819999998
512,64,64,2,8,2,8,7.219508793333334
512,64,64,2,16,2,2,19.283194860000002
512,64,64,2,16,2,4,19.957027656666668
512,64,64,2,16,2,8,4.0508358300000005
512,64,64,2,16,2,16,4.87223113
512,64,64,2,32,2,2,19.03498022
512,64,64,2,32,2,4,38.00185923666667
512,64,64,2,32,2,8,3.0432317833333333
512,64,64,2,32,2,16,3.0375014466666665
512,64,64,4,2,2,2,12.854503079999999
512,64,64,4,2,4,2,12.874449026666667
512,64,64,4,4,2,2,7.62173384
512,64,64,4,4,2,4,7.534474843333334
512,64,64,4,4,4,2,31.20490979333333
512,64,64,4,4,4,4,7.559226043333333
512,64,64,4,8,2,2,6.461553080000001
512,64,64,4,8,2,4,4.605649489999999
512,64,64,4,8,2,8,4.562744513333333
512,64,64,4,8,4,2,9.518967346666667
512,64,64,4,8,4,4,4.141237196666666
512,64,64,4,8,4,8,4.442998196666666
512,64,64,4,16,2,2,16.849745483333336
512,64,64,4,16,2,4,2.94806525
512,64,64,4,16,2,8,2.9722052500000005
512,64,64,4,16,2,16,3.2688525733333336
512,64,64,4,16,4,2,16.939074533333333
512,64,64,4,16,4,4,2.9529199200000003
512,64,64,4,16,4,8,2.9630595866666667
512,64,64,4,16,4,16,65.69878566999999
512,64,64,4,32,2,2,17.192483443333334
512,64,64,4,32,2,4,3.49609362
512,64,64,4,32,2,8,3.52266562
512,64,64,4,32,2,16,5.47377028
512,64,64,4,32,4,2,17.15718850333333
512,64,64,4,32,4,4,3.4703923333333333
512,64,64,4,32,4,8,3.513248333333333
512,64,64,4,32,4,16,34.09814547
512,64,64,8,2,2,2,8.301485273333332
512,64,64,8,2,4,2,8.249133606666668
512,64,64,8,2,8,2,8.278444246666666
512,64,64,8,4,2,2,5.004436613333334
512,64,64,8,4,2,4,5.817841603333333
512,64,64,8,4,4,2,5.03567721
512,64,64,8,4,4,4,5.821360933333334
512,64,64,8,4,8,2,6.420785623333334
512,64,64,8,4,8,4,5.75505139
512,64,64,8,8,2,2,3.733362666666667
512,64,64,8,8,2,4,3.5975286666666673
512,64,64,8,8,2,8,34.01769725
512,64,64,8,8,4,2,3.6308190199999997
512,64,64,8,8,4,4,3.626489016666666
512,64,64,8,8,4,8,3.8477670199999996
512,64,64,8,8,8,2,3.7260766766666666
512,64,64,8,8,8,4,3.6965983433333336
512,64,64,8,8,8,8,85.71185201
512,64,64,8,16,2,2,4.44127331
512,64,64,8,16,2,4,4.388966643333333
512,64,64,8,16,2,8,5.636052299999999
512,64,64,8,16,2,16,3.6157386466666668
512,64,64,8,16,4,2,4.402969306666667
512,64,64,8,16,4,4,4.451572643333334
512,64,64,8,16,4,8,5.438001303333333
512,64,64,8,16,4,16,66.8410056
512,64,64,8,16,8,2,4.594288393333333
512,64,64,8,16,8,4,4.8269888566666665
512,64,64,8,16,8,8,61.59466709333333
512,64,64,8,16,8,16,114.22041595000002
512,64,64,8,32,2,2,4.58812408
512,64,64,8,32,2,4,4.60311188
512,64,64,8,32,2,8,5.162455906666667
512,64,64,8,32,2,16,5.147750240000001
512,64,64,8,32,4,2,4.5198362266666665
512,64,64,8,32,4,4,4.58690888
512,64,64,8,32,4,8,5.067221
512,64,64,8,32,4,16,33.653484713333334
512,64,64,8,32,8,2,4.50156081
512,64,64,8,32,8,4,4.513500570000001
512,64,64,8,32,8,8,88.03636988000001
512,64,64,8,32,8,16,69.47711781333332
512,64,64,16,2,2,2,7.3670832299999995
512,64,64,16,2,4,2,8.297400943333333
512,64,64,16,2,8,2,7.64731495
512,64,64,16,2,16,2,7.3594155899999985
512,64,64,16,4,2,2,11.737006866666666
512,64,64,16,4,2,4,49.46315470666666
512,64,64,16,4,4,2,11.644975106666667
512,64,64,16,4,4,4,36.63225378
512,64,64,16,4,8,2,11.603231783333332
512,64,64,16,4,8,4,7.087448026666667
512,64,64,16,4,16,2,11.697613226666666
512,64,64,16,4,16,4,63.98343336000001
512,64,64,16,8,2,2,6.6974545800000005
512,64,64,16,8,2,4,13.70801786
512,64,64,16,8,2,8,58.00582345
512,64,64,16,8,4,2,6.606917353333333
512,64,64,16,8,4,4,13.030398706666666
512,64,64,16,8,4,8,4.40047827
512,64,64,16,8,8,2,6.691747106666667
512,64,64,16,8,8,4,9.921903276666667
512,64,64,16,8,8,8,86.05452256666666
512,64,64,16,8,16,2,6.564461223333333
512,64,64,16,8,16,4,90.76463297333333
512,64,64,16,8,16,8,87.23873327333335
512,64,64,16,16,2,2,6.5582717
512,64,64,16,16,2,4,11.589742286666667
512,64,64,16,16,2,8,5.288462803333333
512,64,64,16,16,2,16,4.300797036666666
512,64,64,16,16,4,2,6.504043263333333
512,64,64,16,16,4,4,9.568436856666667
512,64,64,16,16,4,8,5.212859656666666
512,64,64,16,16,4,16,65.64473040666667
512,64,64,16,16,8,2,6.54879895
512,64,64,16,16,8,4,9.318069493333333
512,64,64,16,16,8,8,54.33221927333334
512,64,64,16,16,8,16,113.57160983333335
512,64,64,16,16,16,2,6.5125086
512,64,64,16,16,16,4,161.85257830333333
512,64,64,16,16,16,8,118.92288935333335
512,64,64,16,16,16,16,114.09044013000002
512,64,64,16,32,2,2,5.337831116666666
512,64,64,16,32,2,4,9.360510203333334
512,64,64,16,32,2,8,5.160664863333333
512,64,64,16,32,2,16,5.090774053333334
512,64,64,16,32,4,2,5.25129572
512,64,64,16,32,4,4,9.036858326666668
512,64,64,16,32,4,8,5.241604456666667
512,64,64,16,32,4,16,33.71584280666667
512,64,64,16,32,8,2,5.2310601666666665
512,64,64,16,32,8,4,9.208111293333335
512,64,64,16,32,8,8,86.54195086666667
512,64,64,16,32,8,16,67.55924322
512,64,64,16,32,16,2,5.258286246666667
512,64,64,16,32,16,4,267.20655732666665
512,64,64,16,32,16,8,216.87312891333332
512,64,64,16,32,16,16,142.10021877666665
512,64,64,32,2,2,2,7.6050362133333325
512,64,64,32,2,4,2,7.485399613333334
512,64,64,32,2,8,2,7.432326319999999
512,64,64,32,2,16,2,7.5119356533333335
512,64,64,32,4,2,2,74.55143399
512,64,64,32,4,2,4,6.90120587
512,64,64,32,4,4,2,23.122319706666666
512,64,64,32,4,4,4,6.070746590000001
512,64,64,32,4,8,2,21.520156893333333
512,64,64,32,4,8,4,7.013102736666666
512,64,64,32,4,16,2,22.799163703333335
512,64,64,32,4,16,4,60.44000505333334
512,64,64,32,8,2,2,112.86981323
512,64,64,32,8,2,4,10.969477363333334
512,64,64,32,8,2,8,5.7354230133333335
512,64,64,32,8,4,2,24.35196841333333
512,64,64,32,8,4,4,10.512257306666667
512,64,64,32,8,4,8,5.441179096666667
512,64,64,32,8,8,2,19.164678633333335
512,64,64,32,8,8,4,10.581227276666665
512,64,64,32,8,8,8,85.65196580000001
512,64,64,32,8,16,2,20.135750556666665
512,64,64,32,8,16,4,86.00366098999999
512,64,64,32,8,16,8,87.66156052666666
512,64,64,32,16,2,2,193.83818992333332
512,64,64,32,16,2,4,9.677875196666667
512,64,64,32,16,2,8,7.102250420000001
512,64,64,32,16,2,16,5.5164490666666675
512,64,64,32,16,4,2,23.909987513333334
512,64,64,32,16,4,4,10.637442243333332
512,64,64,32,16,4,8,6.7401548899999995
512,64,64,32,16,4,16,65.53422373
512,64,64,32,16,8,2,18.20667312
512,64,64,32,16,8,4,9.718420493333333
512,64,64,32,16,8,8,52.21183451666666
512,64,64,32,16,8,16,113.68193322666669
512,64,64,32,16,16,2,18.498733886666667
512,64,64,32,16,16,4,162.30942035666666
512,64,64,32,16,16,8,119.00504498333335
512,64,64,32,16,16,16,114.52507777333332
512,64,64,32,32,2,2,25.26602656333333
512,64,64,32,32,2,4,12.511339386666668
512,64,64,32,32,2,8,7.03509132
512,64,64,32,32,2,16,6.765707986666667
512,64,64,32,32,4,2,23.619697943333335
512,64,64,32,32,4,4,10.55866826
512,64,64,32,32,4,8,6.695657443333333
512,64,64,32,32,4,16,33.48942256666667
512,64,64,32,32,8,2,18.207475433333336
512,64,64,32,32,8,4,9.36599416
512,64,64,32,32,8,8,83.66043680333333
512,64,64,32,32,8,16,65.15466038666665
512,64,64,32,32,16,2,17.587876823333335
512,64,64,32,32,16,4,269.4404856433333
512,64,64,32,32,16,8,189.67594212
512,64,64,32,32,16,16,125.37132745666668
512,64,128,2,2,2,2,53.808278563333324
512,64,128,2,4,2,2,40.68919805
512,64,128,2,4,2,4,12.625530406666666
512,64,128,2,8,2,2,12.136923676666667
512,64,128,2,8,2,4,30.340998280000004
512,64,128,2,8,2,8,7.429686636666665
512,64,128,2,16,2,2,19.249204563333333
512,64,128,2,16,2,4,20.138539843333334
512,64,128,2,16,2,8,4.129207666666666
512,64,128,2,16,2,16,4.978920666666666
512,64,128,2,32,2,2,19.022854676666665
512,64,128,2,32,2,4,37.97305941
512,64,128,2,32,2,8,3.076244663333333
512,64,128,2,32,2,16,4.016839996666667
512,64,128,4,2,2,2,13.315305256666667
512,64,128,4,2,4,2,13.222821553333333
512,64,128,4,4,2,2,7.7256963066666655
512,64,128,4,4,2,4,7.6127953066666665
512,64,128,4,4,4,2,31.30992656333333
512,64,128,4,4,4,4,7.657242813333332
512,64,128,4,8,2,2,6.5241608399999995
512,64,128,4,8,2,4,4.722036856666667
512,64,128,4,8,2,8,4.593946856666666
512,64,128,4,8,4,2,9.534253699999999
512,64,128,4,8,4,4,4.217953673333333
512,64,128,4,8,4,8,4.745638339999999
512,64,128,4,16,2,2,16.864313746666667
512,64,128,4,16,2,4,2.9925527000000005
512,64,128,4,16,2,8,3.0605343666666665
512,64,128,4,16,2,16,3.375893703333334
512,64,128,4,16,4,2,16.92156538
512,64,128,4,16,4,4,3.0619856766666667
512,64,128,4,16,4,8,3.03412101
512,64,128,4,16,4,16,65.17234552333333
512,64,128,4,32,2,2,17.000111699999998
512,64,128,4,32,2,4,3.4700000066666665
512,64,128,4,32,2,8,3.4509720100000005
512,64,128,4,32,2,16,5.543056679999999
512,64,128,4,32,4,2,17.034891696666666
512,64,128,4,32,4,4,3.4498586700000002
512,64,128,4,32,4,8,3.453484003333333
512,64,128,4,32,4,16,34.46300927
512,64,128,8,2,2,2,8.608031323333332
512,64,128,8,2,4,2,8.451520323333334
512,64,128,8,2,8,2,8.62165266
512,64,128,8,4,2,2,5.178509663333334
512,64,128,8,4,2,4,5.8265590000000005
512,64,128,8,4,4,2,5.162154666666667
512,64,128,8,4,4,4,5.957341333333334
512,64,128,8,4,8,2,6.83646767
512,64,128,8,4,8,4,5.852188336666666
512,64,128,8,8,2,2,3.9404616700000004
512,64,128,8,8,2,4,3.82241067
512,64,128,8,8,2,8,34.01206136
512,64,128,8,8,4,2,3.838850336666667
512,64,128,8,8,4,4,3.851435336666667
512,64,128,8,8,4,8,3.9543536666666665
512,64,128,8,8,8,2,3.8769296700000004
512,64,128,8,8,8,4,3.8111730033333333
512,64,128,8,8,8,8,85.27641532333332
512,64,128,8,16,2,2,4.3963645866666665
512,64,128,8,16,2,4,4.449516916666666
512,64,128,8,16,2,8,5.624428933333333
512,64,128,8,16,2,16,3.71019863
512,64,128,8,16,4,2,4.441964619999999
512,64,128,8,16,4,4,4.40485262
512,64,128,8,16,4,8,5.548543646666667
512,64,128,8,16,4,16,66.13472909333333
512,64,128,8,16,8,2,4.45747439
512,64,128,8,16,8,4,4.427257053333333
512,64,128,8,16,8,8,56.47882226666666
512,64,128,8,16,8,16,113.55777249666669
512,64,128,8,32,2,2,4.545932016666667
512,64,128,8,32,2,4,4.536472686666667
512,64,128,8,32,2,8,5.127001686666666
512,64,128,8,32,2,16,5.093300686666667
512,64,128,8,32,4,2,4.525465349999999
512,64,128,8,32,4,4,4.52890535
512,64,128,8,32,4,8,6.33695169
512,64,128,8,32,4,16,34.13773598
512,64,128,8,32,8,2,4.591601686666667
512,64,128,8,32,8,4,4.590752686666667
512,64,128,8,32,8,8,87.57276036
512,64,128,8,32,8,16,69.91242272
512,64,128,16,2,2,2,7.811055339999999
512,64,128,16,2,4,2,8.540171673333335
512,64,128,16,2,8,2,7.866078673333333
512,64,128,16,2,16,2,7.854916683333334
512,64,128,16,4,2,2,12.117600023333333
512,64,128,16,4,2,4,49.07359998
512,64,128,16,4,4,2,12.009700293333331
512,64,128,16,4,4,4,36.43199671666667
512,64,128,16,4,8,2,12.184694473333334
512,64,128,16,4,8,4,7.376124049999999
512,64,128,16,4,16,2,12.37834442
512,64,128,16,4,16,4,64.03844692
512,64,128,16,8,2,2,6.950221673333334
512,64,128,16,8,2,4,13.92834967666667
512,64,128,16,8,2,8,58.083482143333335
512,64,128,16,8,4,2,7.088848596666667
512,64,128,16,8,4,4,13.210598573333336
512,64,128,16,8,4,8,4.71372968
512,64,128,16,8,8,2,6.94188602
512,64,128,16,8,8,4,10.02940839
512,64,128,16,8,8,8,86.03428587333333
512,64,128,16,8,16,2,6.932839203333335
512,64,128,16,8,16,4,90.85958459
512,64,128,16,8,16,8,87.32732023333332
