nc,kc,mc,mr,nr,mv,nu,time
512,64,64,2,2,2,2,91.56636566666667
512,64,64,2,4,2,2,167.674928
512,64,64,2,4,2,4,66.89009966666667
512,64,64,2,8,2,2,118.22098799999999
512,64,64,2,8,2,4,133.21578333333335
512,64,64,2,8,2,8,67.64444833333333
512,64,64,2,16,2,2,153.078007
512,64,64,2,16,2,4,146.58463833333332
512,64,64,2,16,2,8,144.44333733333332
512,64,64,2,16,2,16,64.713587
512,64,64,2,32,2,2,124.78417133333332
512,64,64,2,32,2,4,119.53449700000002
512,64,64,2,32,2,8,139.796798
512,64,64,2,32,2,16,131.41322966666664
512,64,64,4,2,2,2,74.58054066666666
512,64,64,4,2,4,2,66.37323233333333
512,64,64,4,4,2,2,51.43109033333334
512,64,64,4,4,2,4,50.861598666666666
512,64,64,4,4,4,2,129.354684
512,64,64,4,4,4,4,51.02001466666667
512,64,64,4,8,2,2,54.29605766666668
512,64,64,4,8,2,4,52.837280333333325
512,64,64,4,8,2,8,48.55420566666666
512,64,64,4,8,4,2,133.29269433333334
512,64,64,4,8,4,4,120.40910566666668
512,64,64,4,8,4,8,48.980614333333335
512,64,64,4,16,2,2,125.964423
512,64,64,4,16,2,4,117.13378766666666
512,64,64,4,16,2,8,118.38324366666667
512,64,64,4,16,2,16,124.09545699999998
512,64,64,4,16,4,2,119.42582433333334
512,64,64,4,16,4,4,117.284372
512,64,64,4,16,4,8,113.95562233333335
512,64,64,4,16,4,16,113.05935133333332
512,64,64,4,32,2,2,127.43647966666666
512,64,64,4,32,2,4,109.55755866666667
512,64,64,4,32,2,8,113.57624766666667
512,64,64,4,32,2,16,120.240985
512,64,64,4,32,4,2,126.732667
512,64,64,4,32,4,4,109.29066333333334
512,64,64,4,32,4,8,113.69914233333334
512,64,64,4,32,4,16,113.84550933333333
512,64,64,8,2,2,2,62.335084
512,64,64,8,2,4,2,60.094359333333344
512,64,64,8,2,8,2,63.94918866666667
512,64,64,8,4,2,2,59.61191833333333
512,64,64,8,4,2,4,51.28706866666667
512,64,64,8,4,4,2,59.53161566666667
512,64,64,8,4,4,4,51.35790333333333
512,64,64,8,4,8,2,132.4218186666667
512,64,64,8,4,8,4,46.735820000000004
512,64,64,8,8,2,2,115.13450766666666
512,64,64,8,8,2,4,116.01262199999998
512,64,64,8,8,2,8,117.84987466666668
512,64,64,8,8,4,2,114.69390933333334
512,64,64,8,8,4,4,116.12011866666667
512,64,64,8,8,4,8,116.04249066666667
512,64,64,8,8,8,2,115.16447033333333
512,64,64,8,8,8,4,114.14065466666666
512,64,64,8,8,8,8,105.40502933333335
512,64,64,8,16,2,2,100.41255366666667
512,64,64,8,16,2,4,112.698619
512,64,64,8,16,2,8,113.268705
512,64,64,8,16,2,16,109.67429633333333
512,64,64,8,16,4,2,100.301079
512,64,64,8,16,4,4,112.932297
512,64,64,8,16,4,8,109.44309433333333
512,64,64,8,16,4,16,116.55563333333335
512,64,64,8,16,8,2,100.00474866666666
512,64,64,8,16,8,4,113.35002133333333
512,64,64,8,16,8,8,127.21044133333332
512,64,64,8,16,8,16,101.14195866666667
512,64,64,8,32,2,2,98.92714099999999
512,64,64,8,32,2,4,108.86567166666667
512,64,64,8,32,2,8,115.24198833333334
512,64,64,8,32,2,16,119.724057
512,64,64,8,32,4,2,99.01913
512,64,64,8,32,4,4,108.42917
512,64,64,8,32,4,8,117.29421866666667
512,64,64,8,32,4,16,103.542462
512,64,64,8,32,8,2,99.13431333333332
512,64,64,8,32,8,4,108.54705966666666
512,64,64,8,32,8,8,107.885098
512,64,64,8,32,8,16,102.60155833333333
512,64,64,16,2,2,2,67.31198366666668
512,64,64,16,2,4,2,57.39124933333333
512,64,64,16,2,8,2,60.10783300000001
512,64,64,16,2,16,2,65.41937033333333
512,64,64,16,4,2,2,114.73134166666665
512,64,64,16,4,2,4,118.99917366666666
512,64,64,16,4,4,2,119.83929666666668
512,64,64,16,4,4,4,118.49424166666667
512,64,64,16,4,8,2,119.91452
512,64,64,16,4,8,4,117.22716966666664
512,64,64,16,4,16,2,125.58441399999998
512,64,64,16,4,16,4,140.79907133333333
512,64,64,16,8,2,2,109.60047533333334
512,64,64,16,8,2,4,109.26127266666666
512,64,64,16,8,2,8,114.588026
512,64,64,16,8,4,2,110.90393633333333
512,64,64,16,8,4,4,119.10427000000001
512,64,64,16,8,4,8,110.38285400000001
512,64,64,16,8,8,2,111.10089966666666
512,64,64,16,8,8,4,120.870483
512,64,64,16,8,8,8,101.61732166666667
512,64,64,16,8,16,2,107.01910133333334
512,64,64,16,8,16,4,108.301387
512,64,64,16,8,16,8,98.33890833333334
512,64,64,16,16,2,2,109.80601133333334
512,64,64,16,16,2,4,117.08732633333334
512,64,64,16,16,2,8,99.53106066666668
512,64,64,16,16,2,16,106.11549333333333
512,64,64,16,16,4,2,107.80816466666667
512,64,64,16,16,4,4,117.84230666666667
512,64,64,16,16,4,8,115.28173066666665
512,64,64,16,16,4,16,103.74314633333334
512,64,64,16,16,8,2,107.51817333333332
